Polling Firm,Fieldwork Date,Sample Size,Others,Don't know,Lead,United Right,Civic Coalition,Third Way,Polish Coalition,Poland 2050,The Left,Confederation,Nonpartisan Local Gov. Activists,There is One Poland,Kukiz'15,AGROunia,Agreement,Independents & Local Gov. Activists,Agreement + Polish Coalition,AGROunia + Agreement,Polish Coalition + Kukiz'15,Law and Justice,Civic Platform,.Nowoczesna,Democratic Left Alliance,Polish People's Party,KORWiN,Razem,Spring,Civic Platform + .Nowoczesna,Civic Platform + .Nowoczesna + Democratic Left Alliance + Polish People's Party,Your Movement,Democratic Left Alliance + Your Movement,Congress of the New Right,Solidarity Poland,Solidarity Poland + Poland Together,Palikot's Movement,Poland Together
Social Changes,24.07.2023,1046.0,,2.0,3.0,33.0,30.0,8.0,,,10.0,14.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,20.07.2023,1002.0,,2.3,6.0,34.3,28.3,11.2,,,8.5,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,20.07.2023,1000.0,,5.9,5.7,33.3,27.6,10.3,,,9.9,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,19.07.2023,983.0,,13.0,1.0,33.0,32.0,5.0,,,7.0,8.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Pollster,17.07.2023,,,3.3,3.63,33.4,29.77,10.54,,,8.91,11.46,,,,1.52,,1.1,,,,,,,,,,,,,,,,,,,,
Social Changes,17.07.2023,1056.0,,2.0,5.0,34.0,29.0,,5.0,5.0,9.0,14.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,17.07.2023,1056.0,,2.0,3.0,33.0,30.0,8.0,,,10.0,14.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Research Partner,17.07.2023,1084.0,,10.3,5.1,32.0,26.9,9.8,,,7.5,11.0,,,1.2,0.7,0.6,,,,,,,,,,,,,,,,,,,,,
CBOS,16.07.2023,1004.0,,19.0,1.0,29.0,28.0,6.0,,,5.0,9.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
IBRiS,14.07.2023,998.0,,4.1,4.9,33.2,28.3,11.1,,,8.1,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,13.07.2023,1000.0,,0.7,5.6,34.6,29.0,9.8,,,8.6,16.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
IBRiS,11.07.2023,1000.0,,1.6,7.7,35.1,27.4,10.8,,,9.4,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,10.07.2023,1076.0,,2.0,6.0,35.0,29.0,,4.0,5.0,7.0,16.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBSP,10.07.2023,800.0,,0.27,4.27,35.05,30.78,9.45,,,8.89,14.74,,,,,,0.82,,,,,,,,,,,,,,,,,,,,
United Surveys,09.07.2023,1000.0,,0.8,4.9,33.4,28.5,11.0,,,10.7,14.5,,,,1.1,,,,,,,,,,,,,,,,,,,,,,
Estymator,07.07.2023,1043.0,,1.8,3.9,34.5,30.6,11.0,,,7.5,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,03.07.2023,1093.0,,1.0,7.0,37.0,30.0,,3.0,5.0,9.0,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,03.07.2023,1093.0,,1.0,7.0,37.0,30.0,8.0,,,9.0,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Pollster,02.07.2023,1042.0,,0.9,7.2,36.6,29.4,9.3,,,8.0,10.6,,,0.7,2.0,1.5,0.5,,,,,,,,,,,,,,,,,,,,
IPSOS,28.06.2023,1000.0,,6.0,5.0,33.0,28.0,9.0,,,10.0,12.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Social Changes,27.06.2023,1072.0,,1.0,6.0,37.0,31.0,,3.0,5.0,8.0,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,27.06.2023,1072.0,,1.0,6.0,37.0,31.0,7.0,,,8.0,14.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Kantar Public,26.06.2023,1000.0,,8.2,3.6,34.4,30.8,7.8,,,5.7,10.5,,,,1.8,0.8,,,,,,,,,,,,,,,,,,,,,
United Surveys,25.06.2023,1000.0,,5.3,3.5,31.7,28.2,12.1,,,8.0,14.0,,,,0.7,,,,,,,,,,,,,,,,,,,,,,
IBRiS,24.06.2023,1000.0,,4.9,2.5,32.7,30.2,10.8,,,9.0,12.1,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
Estymator,23.06.2023,1052.0,,2.4,3.5,34.9,31.4,10.5,,,7.3,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,22.06.2023,1000.0,,7.0,2.0,33.0,31.0,7.0,,,8.0,12.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,21.06.2023,978.0,,15.0,,32.0,32.0,7.0,,,6.0,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Pollster,18.06.2023,1024.0,,3.0,3.6,34.3,30.7,9.8,,,7.8,11.0,,,0.7,1.8,0.1,0.7,,,,,,,,,,,,,,,,,,,,
CBOS,18.06.2023,1054.0,,18.0,6.0,33.0,27.0,5.0,,,5.0,8.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Social Changes,12.06.2023,1030.0,,2.0,6.0,37.0,31.0,,4.0,6.0,8.0,10.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,12.06.2023,1039.0,,5.2,5.8,34.9,29.1,10.7,,,5.9,11.5,,,1.7,0.6,0.3,,,,,,,,,,,,,,,,,,,,,
United Surveys,11.06.2023,1000.0,,4.6,4.5,34.2,29.7,10.2,,,9.7,11.5,,,,0.1,,,,,,,,,,,,,,,,,,,,,,
IBRiS,11.06.2023,1000.0,,5.8,5.2,33.5,28.3,10.6,,,9.7,11.7,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
Estymator,10.06.2023,1043.0,,2.4,6.3,35.9,29.6,11.0,,,7.2,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,07.06.2023,1000.0,,4.0,6.0,35.0,29.0,10.0,,,7.0,13.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
IBRiS,06.06.2023,1100.0,,4.8,3.8,33.9,30.1,10.1,,,8.8,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,06.06.2023,1003.0,,9.0,1.0,31.0,32.0,10.0,,,6.0,10.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,06.06.2023,1000.0,,0.8,2.5,33.9,31.4,9.5,,,8.0,14.9,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
Social Changes,05.06.2023,1049.0,,2.0,7.0,38.0,31.0,,4.0,6.0,7.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,05.06.2023,1049.0,,2.0,6.0,37.0,31.0,8.0,,,8.0,11.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,04.06.2023,1000.0,,4.9,5.3,34.4,29.1,9.4,,,8.6,13.4,,,,0.2,,,,,,,,,,,,,,,,,,,,,,
United Surveys,04.06.2023,1000.0,,8.8,5.6,32.8,27.2,11.3,,,8.7,10.8,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
Pollster,31.05.2023,1006.0,,1.34,4.57,32.29,27.72,13.96,,,11.51,9.78,,,0.41,1.65,0.51,0.83,,,,,,,,,,,,,,,,,,,,
CBM Indicator,30.05.2023,1000.0,,0.0,9.3,37.8,28.5,13.4,,,10.2,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,29.05.2023,1038.0,,2.0,8.0,38.0,30.0,,5.0,6.0,8.0,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,29.05.2023,1038.0,,2.0,8.0,38.0,30.0,9.0,,,8.0,10.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,29.05.2023,1045.0,,5.2,6.7,34.8,28.1,11.8,,,8.3,9.5,,,0.9,0.9,0.4,,,,,,,,,,,,,,,,,,,,,
United Surveys,28.05.2023,1000.0,,6.2,5.2,31.8,26.6,14.1,,,10.0,10.1,,,,1.2,,,,,,,,,,,,,,,,,,,,,,
IBRiS,27.05.2023,1000.0,,7.2,7.3,32.9,25.6,13.1,,,7.8,11.0,,,,0.6,,1.8,,,,,,,,,,,,,,,,,,,,
Estymator,26.05.2023,1055.0,,3.1,10.6,35.8,25.2,14.9,,,9.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Mands,23.05.2023,1011.0,,0.0,9.8,38.9,29.1,,3.8,9.5,8.8,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,22.05.2023,2099.0,,2.0,9.0,38.0,29.0,,5.0,6.0,8.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,21.05.2023,1000.0,,8.3,6.6,32.3,25.7,14.1,,,9.7,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,21.05.2023,1020.0,,6.3,9.9,34.5,24.6,14.2,,,9.3,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,19.05.2023,1100.0,,0.65,5.21,34.36,29.15,12.7,,,8.47,11.73,,,,,,2.44,,0.49,,,,,,,,,,,,,,,,,,
IPSOS,19.05.2023,1000.0,,7.0,11.0,35.0,24.0,12.0,,,9.0,11.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
CBOS,18.05.2023,1056.0,,20.0,10.0,33.0,23.0,6.0,,,6.0,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Kantar Public,17.05.2023,979.0,,15.0,3.0,31.0,28.0,10.0,,,8.0,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
IBRiS,16.05.2023,1100.0,,8.6,6.6,32.0,25.4,14.6,,,9.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,15.05.2023,1083.0,,3.39,6.27,34.06,27.79,12.42,,,10.01,10.75,,,,,,,,1.58,,,,,,,,,,,,,,,,,,
Research Partner,15.05.2023,1053.0,,5.5,7.0,35.4,28.4,12.2,,,8.4,8.5,,,0.5,,,,,1.1,,,,,,,,,,,,,,,,,,
Social Changes,15.05.2023,1039.0,,2.0,10.0,39.0,29.0,,6.0,7.0,7.0,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,15.05.2023,1039.0,,2.0,9.0,38.0,29.0,11.0,,,8.0,10.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,14.05.2023,1000.0,,7.6,8.2,32.7,24.5,14.8,,,10.0,9.4,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Estymator,12.05.2023,1070.0,,0.5,9.5,36.0,26.5,,6.7,6.9,10.8,11.0,,,1.4,,,,,0.2,,,,,,,,,,,,,,,,,,
Estymator,12.05.2023,1070.0,,0.2,10.3,35.3,25.0,15.2,,,10.4,10.5,,,,,,,,0.2,,,,,,,,,,,,,,,,,,
Social Changes,08.05.2023,1039.0,,2.0,10.0,38.0,28.0,,7.0,7.0,8.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.05.2023,1039.0,,2.0,11.0,38.0,27.0,12.0,,,9.0,10.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,02.05.2023,1048.0,,2.0,12.0,39.0,27.0,,6.0,7.0,9.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,30.04.2023,1000.0,,9.7,8.2,32.0,23.8,14.7,,,8.4,11.2,,,,,,,,0.2,,,,,,,,,,,,,,,,,,
Social Changes,24.04.2023,1048.0,,1.0,9.0,37.0,28.0,,5.0,7.0,10.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,21.04.2023,1059.0,,0.2,10.2,35.7,25.5,,6.8,6.2,9.7,11.2,,,1.0,,,3.5,,0.2,,,,,,,,,,,,,,,,,,
CBOS,20.04.2023,1081.0,,23.0,16.0,36.0,20.0,,3.0,5.0,4.0,9.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
PGB Opinium,19.04.2023,1080.0,,1.17,6.46,34.89,28.43,,5.01,9.05,8.56,10.82,,,,,,1.78,,0.48,,,,,,,,,,,,,,,,,,
Kantar Public,19.04.2023,981.0,,15.0,8.0,35.0,27.0,,3.0,7.0,6.0,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Social Changes,17.04.2023,1036.0,,2.0,11.0,39.0,28.0,,5.0,7.0,10.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,17.04.2023,1047.0,,5.8,6.5,34.6,28.1,,3.9,7.1,9.1,8.8,,,1.4,,,,,1.1,,,,,,,,,,,,,,,,,,
Pollster,16.04.2023,1120.0,,2.45,5.78,32.47,26.69,,5.67,9.52,11.14,10.19,,,0.43,,0.57,0.87,,,,,,,,,,,,,,,,,,,,
IBRiS,15.04.2023,1100.0,,8.0,8.2,33.0,24.8,,6.4,8.0,9.4,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,10.04.2023,1052.0,,2.0,11.0,39.0,28.0,,5.0,8.0,9.0,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,05.04.2023,1005.0,,6.3,9.9,33.5,23.6,,6.5,8.0,9.5,11.8,,,,,,,,0.8,,,,,,,,,,,,,,,,,,
